Compliance Name,Domain Name,Category,What It Is,Why It Is Important,Why It Is Needed,How It Should Work,Minimum Requirements for Compliance,Required Evidence,Audit / Pass Criteria,Non-Compliance Triggers,Typical Applicability / SBU,Indicative Process Owner
Packaging Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Packaging Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Consumer Goods Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Consumer Goods Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Printing Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Printing Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Logistics Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Logistics Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Real Estate Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Real Estate Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Agriculture Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Agriculture Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Food Processing Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Food Processing Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Fisheries Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Fisheries Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Healthcare Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Healthcare Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Hospitality Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Hospitality Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Education Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Education Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Digital Services Compliance,Sector Specific Compliance,Sector-Specific & Regulated Activities,"Digital Services Compliance is the SBU-specific set of licences, technical standards, product rules, operating conditions and regulator expectations for the named industry. Within Sector Specific Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It ensures the enterprise catalogue is translated into the actual legal and technical conditions of each business model, facility, product and market.","It is needed because conglomerate SBUs face materially different regulators, hazards, permits, product standards, customers and professional requirements. Primary catalogue basis: Sector laws, licences and technical standards. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Create an SBU legal and standards register; map entities/sites/products/activities; validate applicability with Legal and technical owners; convert each source into owned controls, evidence, deadlines, testing and management review. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Define SBU scope and jurisdictions; identify regulator and licence set; map product/technical/customer requirements; appoint competent owners; maintain approvals and conditions; implement operational controls; monitor changes; test all critical/high obligations; manage incidents/findings/CAPA; report to SBU and Group governance. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"SBU scope and applicability map, legal/standards/permit registers, technical files, licences and conditions, operating and monitoring records, regulator/customer correspondence, training, audits, incidents and CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the complete SBU-specific universe is Legal/technical validated, critical authorizations and controls are current, evidence covers the period and material findings are closed. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes generic group controls that omit sector obligations, unregistered product/site/activity, missing specialist owner, expired sector licence, failed technical limit or unmapped customer/regulator condition.",Only the SBU or activity named,SBU Head / Legal / Compliance
Competition Law,Competition & Antitrust Compliance,"Governance, Legal & Integrity","Competition Law is the controls preventing anti-competitive agreements, collusion, abuse of dominance, bid rigging and improper exchange of competitively sensitive information. Within Competition & Antitrust Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects fair markets and prevents major fines, criminal exposure, tender exclusion, contract invalidity and reputation damage.","It is needed under competition law and applies to pricing, sales, distribution, procurement, trade associations, joint ventures and competitor contact. Primary catalogue basis: Competition law; OECD competition guidance. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Risk assess high-exposure activities; train roles; require Legal review for competitor interaction, information exchange and restrictive agreements; document independent pricing/bidding; preserve clean-team controls; report and investigate concerns. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.","Map competition risks; prohibit price/market/customer/bid coordination; independently set prices and bids; control sensitive data; pre-clear trade association and competitor contact; Legal-review exclusivity, resale and dominance conduct; retain agendas/minutes; provide speak-up; investigate and remediate. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.","Competition policy and training, pricing/bid analyses and approvals, competitor-contact register, meeting agendas/minutes, Legal contract advice, clean-team protocols, communications review and investigation/CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when decisions are demonstrably independent, high-risk agreements/contact receive Legal control, sensitive data is protected and no unresolved collusion or abuse indicator remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes price fixing, bid rigging, market/customer allocation, sensitive-data exchange, resale-price control, abusive exclusion, undocumented competitor meeting or ignored red flag.","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Anti-Trust,Competition & Antitrust Compliance,"Governance, Legal & Integrity","Anti-Trust is the controls preventing anti-competitive agreements, collusion, abuse of dominance, bid rigging and improper exchange of competitively sensitive information. Within Competition & Antitrust Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects fair markets and prevents major fines, criminal exposure, tender exclusion, contract invalidity and reputation damage.","It is needed under competition law and applies to pricing, sales, distribution, procurement, trade associations, joint ventures and competitor contact. Primary catalogue basis: Competition law; OECD competition guidance. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Risk assess high-exposure activities; train roles; require Legal review for competitor interaction, information exchange and restrictive agreements; document independent pricing/bidding; preserve clean-team controls; report and investigate concerns. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.","Map competition risks; prohibit price/market/customer/bid coordination; independently set prices and bids; control sensitive data; pre-clear trade association and competitor contact; Legal-review exclusivity, resale and dominance conduct; retain agendas/minutes; provide speak-up; investigate and remediate. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.","Competition policy and training, pricing/bid analyses and approvals, competitor-contact register, meeting agendas/minutes, Legal contract advice, clean-team protocols, communications review and investigation/CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when decisions are demonstrably independent, high-risk agreements/contact receive Legal control, sensitive data is protected and no unresolved collusion or abuse indicator remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes price fixing, bid rigging, market/customer allocation, sensitive-data exchange, resale-price control, abusive exclusion, undocumented competitor meeting or ignored red flag.","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
Abuse of Dominant Position,Competition & Antitrust Compliance,"Governance, Legal & Integrity","Abuse of Dominant Position is the controls preventing anti-competitive agreements, collusion, abuse of dominance, bid rigging and improper exchange of competitively sensitive information. Within Competition & Antitrust Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects fair markets and prevents major fines, criminal exposure, tender exclusion, contract invalidity and reputation damage.","It is needed under competition law and applies to pricing, sales, distribution, procurement, trade associations, joint ventures and competitor contact. Primary catalogue basis: Competition law; OECD competition guidance. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Risk assess high-exposure activities; train roles; require Legal review for competitor interaction, information exchange and restrictive agreements; document independent pricing/bidding; preserve clean-team controls; report and investigate concerns. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.","Map competition risks; prohibit price/market/customer/bid coordination; independently set prices and bids; control sensitive data; pre-clear trade association and competitor contact; Legal-review exclusivity, resale and dominance conduct; retain agendas/minutes; provide speak-up; investigate and remediate. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.","Competition policy and training, pricing/bid analyses and approvals, competitor-contact register, meeting agendas/minutes, Legal contract advice, clean-team protocols, communications review and investigation/CAPA. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when decisions are demonstrably independent, high-risk agreements/contact receive Legal control, sensitive data is protected and no unresolved collusion or abuse indicator remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes price fixing, bid rigging, market/customer allocation, sensitive-data exchange, resale-price control, abusive exclusion, undocumented competitor meeting or ignored red flag.","All pricing, sales, tenders, partnerships and market conduct",Legal / Commercial / Compliance
