Compliance Name,Domain Name,Category,Typical Applicability / SBU,Indicative Process Owner
Sustainable Packaging,Packaging Compliance,"Quality, Product & Customer","Packaged goods, export products and packaging materials",Packaging / Product Compliance
Consumer Complaints,Consumer Affairs Compliance,"Quality, Product & Customer",Consumer-facing products and services,Customer Service / Legal
Warranty,Consumer Affairs Compliance,"Quality, Product & Customer",Consumer-facing products and services,Customer Service / Legal
Product Claims,Consumer Affairs Compliance,"Quality, Product & Customer",Consumer-facing products and services,Customer Service / Legal
Advertising,Consumer Affairs Compliance,"Quality, Product & Customer",Consumer-facing products and services,Customer Service / Legal
Customer Communication,Consumer Affairs Compliance,"Quality, Product & Customer",Consumer-facing products and services,Customer Service / Legal
Advertising Law,Marketing Compliance,"Quality, Product & Customer","Advertising, promotion, digital and social campaigns",Chief Marketing Officer / Legal
Digital Marketing,Marketing Compliance,"Quality, Product & Customer","Advertising, promotion, digital and social campaigns",Chief Marketing Officer / Legal
Promotional Campaigns,Marketing Compliance,"Quality, Product & Customer","Advertising, promotion, digital and social campaigns",Chief Marketing Officer / Legal
Social Media Compliance,Marketing Compliance,"Quality, Product & Customer","Advertising, promotion, digital and social campaigns",Chief Marketing Officer / Legal
Brand Usage,Marketing Compliance,"Quality, Product & Customer","Advertising, promotion, digital and social campaigns",Chief Marketing Officer / Legal
Dealer Compliance,Sales Compliance,"Quality, Product & Customer","Direct, dealer and distributor sales channels",Sales Director / Compliance
Sales Incentives,Sales Compliance,"Quality, Product & Customer","Direct, dealer and distributor sales channels",Sales Director / Compliance
Distribution Agreements,Sales Compliance,"Quality, Product & Customer","Direct, dealer and distributor sales channels",Sales Director / Compliance
Customer Due Diligence,Sales Compliance,"Quality, Product & Customer","Direct, dealer and distributor sales channels",Sales Director / Compliance
Letter of Credit,Export Customer Compliance,"Supply Chain, Trade & Operations",Export transactions and customer-specific documentation,Export / Commercial Head
INCOTERMS,Export Customer Compliance,"Supply Chain, Trade & Operations",Export transactions and customer-specific documentation,Export / Commercial Head
Shipping Documentation,Export Customer Compliance,"Supply Chain, Trade & Operations",Export transactions and customer-specific documentation,Export / Commercial Head
Country Restrictions,Export Customer Compliance,"Supply Chain, Trade & Operations",Export transactions and customer-specific documentation,Export / Commercial Head
Tender Integrity,Procurement Integrity,"Governance, Legal & Integrity","Tenders, supplier selection and awards",Procurement / Compliance
Conflict of Interest,Procurement Integrity,"Governance, Legal & Integrity","Tenders, supplier selection and awards",Procurement / Compliance
Bid Confidentiality,Procurement Integrity,"Governance, Legal & Integrity","Tenders, supplier selection and awards",Procurement / Compliance
Supplier Ethics,Procurement Integrity,"Governance, Legal & Integrity","Tenders, supplier selection and awards",Procurement / Compliance
Contract Review,Contract Management Compliance,"Governance, Legal & Integrity",All material contracts and commitments,Legal / Contract Manager
Renewal,Contract Management Compliance,"Governance, Legal & Integrity",All material contracts and commitments,Legal / Contract Manager
Performance Monitoring,Contract Management Compliance,"Governance, Legal & Integrity",All material contracts and commitments,Legal / Contract Manager
Contract Repository,Contract Management Compliance,"Governance, Legal & Integrity",All material contracts and commitments,Legal / Contract Manager
ISO 15489,Records Management,"Governance, Legal & Integrity",All business records and litigation holds,Records Manager / Legal
Retention Schedule,Records Management,"Governance, Legal & Integrity",All business records and litigation holds,Records Manager / Legal
Legal Hold,Records Management,"Governance, Legal & Integrity",All business records and litigation holds,Records Manager / Legal
Archiving,Records Management,"Governance, Legal & Integrity",All business records and litigation holds,Records Manager / Legal
AI Governance,Artificial Intelligence Compliance,"Technology, Data & Security","AI systems, vendors, models and automated decisions",AI Governance Lead / Legal / Risk
AI Ethics,Artificial Intelligence Compliance,"Technology, Data & Security","AI systems, vendors, models and automated decisions",AI Governance Lead / Legal / Risk
AI Risk,Artificial Intelligence Compliance,"Technology, Data & Security","AI systems, vendors, models and automated decisions",AI Governance Lead / Legal / Risk
Algorithm Transparency,Artificial Intelligence Compliance,"Technology, Data & Security","AI systems, vendors, models and automated decisions",AI Governance Lead / Legal / Risk
Human Oversight,Artificial Intelligence Compliance,"Technology, Data & Security","AI systems, vendors, models and automated decisions",AI Governance Lead / Legal / Risk
Cloud Security,Cloud Compliance,"Technology, Data & Security","Cloud services, hosted data and outsourced infrastructure",Cloud Security Lead / CISO
Shared Responsibility,Cloud Compliance,"Technology, Data & Security","Cloud services, hosted data and outsourced infrastructure",Cloud Security Lead / CISO
Cloud Risk Assessment,Cloud Compliance,"Technology, Data & Security","Cloud services, hosted data and outsourced infrastructure",Cloud Security Lead / CISO
Open Source Compliance,Software Compliance,"Technology, Data & Security","Purchased, developed and open-source software",CIO / Software Asset Manager
License Management,Software Compliance,"Technology, Data & Security","Purchased, developed and open-source software",CIO / Software Asset Manager
Software Inventory,Software Compliance,"Technology, Data & Security","Purchased, developed and open-source software",CIO / Software Asset Manager
Digital Projects,Digital Transformation Governance,"Technology, Data & Security","Digital programmes, architecture, data and change",Chief Digital Officer / Transformation Office
Data Governance,Digital Transformation Governance,"Technology, Data & Security","Digital programmes, architecture, data and change",Chief Digital Officer / Transformation Office
Digital Risk,Digital Transformation Governance,"Technology, Data & Security","Digital programmes, architecture, data and change",Chief Digital Officer / Transformation Office
Digital Architecture,Digital Transformation Governance,"Technology, Data & Security","Digital programmes, architecture, data and change",Chief Digital Officer / Transformation Office
Supply Chain ESG,ESG Due Diligence,"HSE, Environment & Sustainability","Suppliers, investments, acquisitions and major projects",Sustainability / Procurement / Compliance
Human Rights,ESG Due Diligence,"HSE, Environment & Sustainability","Suppliers, investments, acquisitions and major projects",Sustainability / Procurement / Compliance
Climate Risk,ESG Due Diligence,"HSE, Environment & Sustainability","Suppliers, investments, acquisitions and major projects",Sustainability / Procurement / Compliance
Social Performance,ESG Due Diligence,"HSE, Environment & Sustainability","Suppliers, investments, acquisitions and major projects",Sustainability / Procurement / Compliance
UN Guiding Principles,Human Rights Compliance,People & Human Rights,"Workforce, communities, security and supply chain",HR / Sustainability / Compliance
Modern Slavery,Human Rights Compliance,People & Human Rights,"Workforce, communities, security and supply chain",HR / Sustainability / Compliance
Child Labour,Human Rights Compliance,People & Human Rights,"Workforce, communities, security and supply chain",HR / Sustainability / Compliance
Indigenous Rights,Human Rights Compliance,People & Human Rights,"Workforce, communities, security and supply chain",HR / Sustainability / Compliance
Equal Pay,Diversity Equity & Inclusion,People & Human Rights,All employment and workplace practices,Chief Human Resources Officer
Accessibility,Diversity Equity & Inclusion,People & Human Rights,All employment and workplace practices,Chief Human Resources Officer
Gender Equality,Diversity Equity & Inclusion,People & Human Rights,All employment and workplace practices,Chief Human Resources Officer
Non-Discrimination,Diversity Equity & Inclusion,People & Human Rights,All employment and workplace practices,Chief Human Resources Officer
Crisis Response,Crisis Management,"Resilience, Security & Emergency","All material operational, reputation and safety crises",Crisis Management Team / BCM
Emergency Communications,Crisis Management,"Resilience, Security & Emergency","All material operational, reputation and safety crises",Crisis Management Team / BCM
Crisis Simulation,Crisis Management,"Resilience, Security & Emergency","All material operational, reputation and safety crises",Crisis Management Team / BCM
Fire Drill,Emergency Preparedness,"Resilience, Security & Emergency",All workplaces and public-facing facilities,HSE / Site Management
Evacuation,Emergency Preparedness,"Resilience, Security & Emergency",All workplaces and public-facing facilities,HSE / Site Management
First Aid,Emergency Preparedness,"Resilience, Security & Emergency",All workplaces and public-facing facilities,HSE / Site Management
Rescue,Emergency Preparedness,"Resilience, Security & Emergency",All workplaces and public-facing facilities,HSE / Site Management
Perimeter Security,Physical Asset Security,"Resilience, Security & Emergency","All premises, warehouses, plants and critical assets",Head of Security
Access Badges,Physical Asset Security,"Resilience, Security & Emergency","All premises, warehouses, plants and critical assets",Head of Security
CCTV Monitoring,Physical Asset Security,"Resilience, Security & Emergency","All premises, warehouses, plants and critical assets",Head of Security
Visitor Screening,Physical Asset Security,"Resilience, Security & Emergency","All premises, warehouses, plants and critical assets",Head of Security
Business Travel,Travel & Mobility Compliance,People & Human Rights,"Business travel, expatriates and international assignments",HR / Travel / Security
Immigration,Travel & Mobility Compliance,People & Human Rights,"Business travel, expatriates and international assignments",HR / Travel / Security
Visa Compliance,Travel & Mobility Compliance,People & Human Rights,"Business travel, expatriates and international assignments",HR / Travel / Security
International Assignment,Travel & Mobility Compliance,People & Human Rights,"Business travel, expatriates and international assignments",HR / Travel / Security
Vehicle Inspection,Fleet Compliance,"Supply Chain, Trade & Operations",Company and contractor vehicles and drivers,Fleet Manager
GPS Monitoring,Fleet Compliance,"Supply Chain, Trade & Operations",Company and contractor vehicles and drivers,Fleet Manager
Driver Safety,Fleet Compliance,"Supply Chain, Trade & Operations",Company and contractor vehicles and drivers,Fleet Manager
Fuel Monitoring,Fleet Compliance,"Supply Chain, Trade & Operations",Company and contractor vehicles and drivers,Fleet Manager
GRI,Sustainability Reporting,"HSE, Environment & Sustainability",Group and entities with stakeholder or regulatory reporting,Head of Sustainability / Finance
ISSB,Sustainability Reporting,"HSE, Environment & Sustainability",Group and entities with stakeholder or regulatory reporting,Head of Sustainability / Finance
IFRS S1,Sustainability Reporting,"HSE, Environment & Sustainability",Group and entities with stakeholder or regulatory reporting,Head of Sustainability / Finance
IFRS S2,Sustainability Reporting,"HSE, Environment & Sustainability",Group and entities with stakeholder or regulatory reporting,Head of Sustainability / Finance
CSRD,Sustainability Reporting,"HSE, Environment & Sustainability",Group and entities with stakeholder or regulatory reporting,Head of Sustainability / Finance
Carbon Accounting,Carbon Compliance,"HSE, Environment & Sustainability",All material emissions sources and reporting boundaries,Climate / Sustainability Lead
GHG Inventory,Carbon Compliance,"HSE, Environment & Sustainability",All material emissions sources and reporting boundaries,Climate / Sustainability Lead
Scope 1,Carbon Compliance,"HSE, Environment & Sustainability",All material emissions sources and reporting boundaries,Climate / Sustainability Lead
Scope 2,Carbon Compliance,"HSE, Environment & Sustainability",All material emissions sources and reporting boundaries,Climate / Sustainability Lead
Scope 3,Carbon Compliance,"HSE, Environment & Sustainability",All material emissions sources and reporting boundaries,Climate / Sustainability Lead
Water Use,Water Stewardship,"HSE, Environment & Sustainability",Water-intensive sites and water-stressed locations,Environment / Utilities Manager
Water Quality,Water Stewardship,"HSE, Environment & Sustainability",Water-intensive sites and water-stressed locations,Environment / Utilities Manager
Wastewater,Water Stewardship,"HSE, Environment & Sustainability",Water-intensive sites and water-stressed locations,Environment / Utilities Manager
Water Risk,Water Stewardship,"HSE, Environment & Sustainability",Water-intensive sites and water-stressed locations,Environment / Utilities Manager
Ecosystem Protection,Biodiversity Compliance,"HSE, Environment & Sustainability","Sites and supply chains affecting land, habitats or ecosystems",Environment / Sustainability Lead
Habitat Management,Biodiversity Compliance,"HSE, Environment & Sustainability","Sites and supply chains affecting land, habitats or ecosystems",Environment / Sustainability Lead
Land Restoration,Biodiversity Compliance,"HSE, Environment & Sustainability","Sites and supply chains affecting land, habitats or ecosystems",Environment / Sustainability Lead
Recycling,Circular Economy Compliance,"HSE, Environment & Sustainability","Materials, products, packaging and waste streams",Sustainability / Operations
Reuse,Circular Economy Compliance,"HSE, Environment & Sustainability","Materials, products, packaging and waste streams",Sustainability / Operations
Waste Recovery,Circular Economy Compliance,"HSE, Environment & Sustainability","Materials, products, packaging and waste streams",Sustainability / Operations
